"Horizon","Response","N","Estimate","SE","CI_low","CI_high","p_value","Sig","Sample_start","Sample_end","NW_lag","p_label"
0,"Pre-2010 period",371,-0.009477,0.01525,-0.039366,0.020412,0.534738,"",1995-05-01,2026-03-01,4,"0.5347"
0,"Post-2010 reform period",371,0.092902,0.015964,0.061612,0.124193,0,"***",1995-05-01,2026-03-01,4,"<0.001"
0,"Post-2010 reform period minus Pre-2010 period",371,0.102379,0.020395,0.062404,0.142354,1e-06,"***",1995-05-01,2026-03-01,4,"<0.001"
1,"Pre-2010 period",370,0.052788,0.026639,0.000576,0.105001,0.048381,"**",1995-05-01,2026-02-01,4,"0.0484"
1,"Post-2010 reform period",370,0.341472,0.022457,0.297458,0.385487,0,"***",1995-05-01,2026-02-01,4,"<0.001"
1,"Post-2010 reform period minus Pre-2010 period",370,0.288684,0.035752,0.218611,0.358757,0,"***",1995-05-01,2026-02-01,4,"<0.001"
2,"Pre-2010 period",369,0.080656,0.04205,-0.001762,0.163075,0.055998,"*",1995-05-01,2026-01-01,4,"0.0560"
2,"Post-2010 reform period",369,0.437593,0.030652,0.377514,0.497672,0,"***",1995-05-01,2026-01-01,4,"<0.001"
2,"Post-2010 reform period minus Pre-2010 period",369,0.356937,0.055598,0.247964,0.46591,0,"***",1995-05-01,2026-01-01,4,"<0.001"
3,"Pre-2010 period",368,0.136867,0.052362,0.034238,0.239496,0.009381,"***",1995-05-01,2025-12-01,4,"0.0094"
3,"Post-2010 reform period",368,0.42923,0.045097,0.340839,0.517621,0,"***",1995-05-01,2025-12-01,4,"<0.001"
3,"Post-2010 reform period minus Pre-2010 period",368,0.292363,0.074293,0.14675,0.437977,0.000102,"***",1995-05-01,2025-12-01,4,"<0.001"
4,"Pre-2010 period",367,0.181769,0.059619,0.064915,0.298623,0.002492,"***",1995-05-01,2025-11-01,5,"0.0025"
4,"Post-2010 reform period",367,0.404274,0.056203,0.294115,0.514432,0,"***",1995-05-01,2025-11-01,5,"<0.001"
4,"Post-2010 reform period minus Pre-2010 period",367,0.222505,0.086382,0.053197,0.391813,0.010455,"**",1995-05-01,2025-11-01,5,"0.0105"
5,"Pre-2010 period",366,0.190927,0.059978,0.073369,0.308484,0.001602,"***",1995-05-01,2025-10-01,6,"0.0016"
5,"Post-2010 reform period",366,0.373115,0.056928,0.261535,0.484694,0,"***",1995-05-01,2025-10-01,6,"<0.001"
5,"Post-2010 reform period minus Pre-2010 period",366,0.182188,0.085923,0.013778,0.350598,0.03476,"**",1995-05-01,2025-10-01,6,"0.0348"
6,"Pre-2010 period",365,0.196467,0.059738,0.07938,0.313554,0.001121,"***",1995-05-01,2025-09-01,7,"0.0011"
6,"Post-2010 reform period",365,0.393661,0.057873,0.28023,0.507092,0,"***",1995-05-01,2025-09-01,7,"<0.001"
6,"Post-2010 reform period minus Pre-2010 period",365,0.197194,0.085649,0.029322,0.365066,0.021972,"**",1995-05-01,2025-09-01,7,"0.0220"
7,"Pre-2010 period",364,0.201811,0.059824,0.084556,0.319066,0.000836,"***",1995-05-01,2025-08-01,8,"<0.001"
7,"Post-2010 reform period",364,0.443124,0.061522,0.32254,0.563708,0,"***",1995-05-01,2025-08-01,8,"<0.001"
7,"Post-2010 reform period minus Pre-2010 period",364,0.241314,0.08732,0.070166,0.412461,0.006057,"***",1995-05-01,2025-08-01,8,"0.0061"
8,"Pre-2010 period",363,0.196503,0.058654,0.081542,0.311464,0.000907,"***",1995-05-01,2025-07-01,9,"<0.001"
8,"Post-2010 reform period",363,0.475475,0.078882,0.320867,0.630083,0,"***",1995-05-01,2025-07-01,9,"<0.001"
8,"Post-2010 reform period minus Pre-2010 period",363,0.278972,0.099235,0.084471,0.473473,0.005249,"***",1995-05-01,2025-07-01,9,"0.0052"
9,"Pre-2010 period",362,0.206002,0.05927,0.089834,0.322171,0.000582,"***",1995-05-01,2025-06-01,10,"<0.001"
9,"Post-2010 reform period",362,0.498524,0.094537,0.313231,0.683816,0,"***",1995-05-01,2025-06-01,10,"<0.001"
9,"Post-2010 reform period minus Pre-2010 period",362,0.292521,0.113274,0.070504,0.514538,0.010269,"**",1995-05-01,2025-06-01,10,"0.0103"
10,"Pre-2010 period",361,0.188614,0.061788,0.06751,0.309717,0.002466,"***",1995-05-01,2025-05-01,11,"0.0025"
10,"Post-2010 reform period",361,0.494832,0.112104,0.275109,0.714556,1.4e-05,"***",1995-05-01,2025-05-01,11,"<0.001"
10,"Post-2010 reform period minus Pre-2010 period",361,0.306219,0.129952,0.051513,0.560924,0.019077,"**",1995-05-01,2025-05-01,11,"0.0191"
11,"Pre-2010 period",360,0.20188,0.061853,0.080649,0.323112,0.001223,"***",1995-05-01,2025-04-01,12,"0.0012"
11,"Post-2010 reform period",360,0.49065,0.127955,0.239858,0.741441,0.000153,"***",1995-05-01,2025-04-01,12,"<0.001"
11,"Post-2010 reform period minus Pre-2010 period",360,0.28877,0.142921,0.008644,0.568895,0.044199,"**",1995-05-01,2025-04-01,12,"0.0442"
12,"Pre-2010 period",359,0.211147,0.066256,0.081284,0.341009,0.001587,"***",1995-05-01,2025-03-01,13,"0.0016"
12,"Post-2010 reform period",359,0.48027,0.13927,0.2073,0.753239,0.000643,"***",1995-05-01,2025-03-01,13,"<0.001"
12,"Post-2010 reform period minus Pre-2010 period",359,0.269123,0.155262,-0.035191,0.573437,0.084038,"*",1995-05-01,2025-03-01,13,"0.0840"
