"Variable","N","Mean","SD","Min","Q25","Median","Q75","Max"
"wpi_fuel",384,81.5386,39.0401,22.8704,48.6867,81.2,104.975,167.1
"brent_usd",384,58.0561,31.8578,9.8,27.454,58.4316,78.9465,133.873
"exr",384,55.3234,16.0297,31.3723,43.651,48.3578,67.7938,92.8182
"oil_inr",384,3432.547,2239.5419,417.3908,1278.4914,3208.3519,5378.7875,9624.2263
"dln_wpi_fuel",383,0.4972,2.3281,-11.1815,-0.2266,0.2923,1.334,9.0637
"dln_oil",383,0.7852,9.2518,-47.0096,-4.2272,1.7786,6.5092,39.9692
"dln_brent",383,0.5022,9.421,-51.1432,-4.9219,1.5622,6.688,37.7112
"dln_exr",383,0.2831,1.5229,-5.9368,-0.4041,0.0878,0.8585,6.5571
